2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:44:08 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
